SBL,TAX DISTRICT,PRINT KEY,FRONT,DEPTH,PROPERTY CLASS,PROP CLASS DESCRIPTION,PREVIOUS PROPERTY CLASS,OWNER1,OWNER2,MAIL1,MAIL2,MAIL3,MAIL4,HOUSE NUMBER,STREET,ADDRESS,CITY,STATE,ZIP CODE (5-DIGIT),ZIP CODE (4-DIGIT),DEED BOOK,DEED PAGE,DEED DATE,ROLL SECTION,LAND VALUE,TOTAL VALUE,SALE PRICE,YEAR BUILT,TOTAL LIVING AREA,OVERALL CONDITION,BUILDING STYLE,HEAT TYPE,BASEMENT TYPE,# OF FIREPLACES,# OF BEDS,# OF BATHS,COUNCIL DISTRICT,POLICE DISTRICT,CENSUS TRACT,CENSUS BLOCK GROUP,CENSUS BLOCK,NEIGHBORHOOD,LATITUDE,LONGITUDE,LOCATION
888000000000000,147007,88.83-1-6,25,132,330,COMMERCIAL VACANT LAND,330,BUFFALO NEIGHBORHOOD,,,STABILIZATION CO INC,271 GRANT ST,"BUFFALO, NY",160,CONGRESS,160 CONGRESS,BUFFALO,NY,14213,,11276,2434,2/11/2015,1,3300,3300,500,,0,,,,,0,0,0,NIAGARA,District D,171,4,4003,Upper West Side,42.92212334741801,-78.89142871122729,"(42.92212334741801, -78.89142871122729)"
888000000000000,147007,88.83-6-3,29,99,311,RESIDENTIAL VACANT LAND,311,BUFFALO NEIGHBORHOOD,,,"STABILIZATION COMPANY, INC.",271 GRANT ST,"BUFFALO, NY",265,DELAVAN WEST,265 DELAVAN WEST,BUFFALO,NY,14213,,11178,1023,2/12/2010,8,2700,2700,2200,,0,,,,,0,0,0,NIAGARA,District D,61,2,2001,Upper West Side,42.92200126681464,-78.88956222187525,"(42.92200126681464, -78.88956222187525)"
888000000000000,147007,88.83-8-1,32,116,220,TWO FAMILY DWELLING,220,BUFFALO NEIGHBORHOOD,,,"STABILIZATION CO., INC.",271 GRANT ST,"BUFFALO, NY",199,DELAVAN WEST,199 DELAVAN WEST,BUFFALO,NY,14213,,11283,9643,8/13/2015,1,4000,32900,1,1900,2520,2,8,2,4,0,6,2,NIAGARA,District D,61,4,4001,Upper West Side,42.92196488134693,-78.89214636139904,"(42.92196488134693, -78.89214636139904)"
993000000000000,147007,99.26-6-15,28,150,311,RESIDENTIAL VACANT LAND,311,BUFFALO NEIGHBORHOOD,,,STABILIZATION COMPANY,271 GRANT,"BUFFALO, NY",176,HERKIMER,176 HERKIMER,BUFFALO,NY,14213,,11309,1103,2/7/2017,1,4500,4500,3000,,0,,,,,0,0,0,NIAGARA,District D,61,5,5003,Upper West Side,42.91756996336571,-78.89303465240198,"(42.91756996336571, -78.89303465240198)"
993000000000000,147007,99.26-6-16,32,150,311,RESIDENTIAL VACANT LAND,311,BUFFALO NEIGHBORHOOD,,,STABILIZATION COMPANY,271 GRANT ST,"BUFFALO, NY",174,HERKIMER,174 HERKIMER,BUFFALO,NY,14213,,11309,1693,2/7/2017,1,3400,3400,4100,,0,,,,,0,0,0,NIAGARA,District D,61,5,5003,Upper West Side,42.91751226768984,-78.8930415224875,"(42.91751226768984, -78.8930415224875)"
994000000000000,147007,99.35-3-19,27,65,220,TWO FAMILY DWELLING,220,BUFFALO NEIGHBORHOOD,,,STABILIZATION COMPANY INC,271 GRANT ST,"BUFFALO, NY",33,PARKDALE,33 PARKDALE,BUFFALO,NY,14213,,11286,5546,7/9/2015,1,2900,37000,1,1900,2314,3,8,2,4,0,7,3,NIAGARA,District D,65.01,4,4005,Elmwood Bidwell,42.9163730198483,-78.88811886563138,"(42.9163730198483, -78.88811886563138)"
994000000000000,147002,99.35-9-31,30,106,311,RESIDENTIAL VACANT LAND,311,BUFFALO NEIGHBORHOOD,,,"STABILIZATION COMPANY, INC.",271 GRANT ST,"BUFFALO, NY",111,EIGHTEENTH,111 EIGHTEENTH,BUFFALO,NY,14213,,11157,6946,3/11/2009,8,4500,4500,500,,0,,,,,0,0,0,NIAGARA,District B,66.01,3,3004,Elmwood Bryant,42.91394305499618,-78.8871050358977,"(42.91394305499618, -78.8871050358977)"
994000000000000,147002,99.35-9-35,30,91,311,RESIDENTIAL VACANT LAND,311,BUFFALO NEIGHBORHOOD,,,"STABILIZATION COMPANY, INC.",271 GRANT ST,"BUFFALO, NY",123,EIGHTEENTH,123 EIGHTEENTH,BUFFALO,NY,14213,,11178,1011,2/12/2010,8,4200,4200,500,,0,,,,,0,0,0,NIAGARA,District B,66.01,3,3004,Elmwood Bryant,42.914080321800775,-78.88723362242564,"(42.914080321800775, -78.88723362242564)"
994000000000000,147002,99.36-5-38,30,120,230,THREE FAMILY DWELLING,230,BUFFALO NEIGHBORHOOD,,,STABILIZATION CO. INC.,271 GRANT ST,"BUFFALO, NY",129,CHENANGO,129 CHENANGO,BUFFALO,NY,14213,,11128,1733,4/5/2007,1,3500,31600,1,1910,2500,3,8,1,3,0,6,3,NIAGARA,District B,66.01,1,1002,Elmwood Bryant,42.914402594403704,-78.88516434379059,"(42.914402594403704, -78.88516434379059)"
994000000000000,147002,99.36-5-39,30,120,312,RESIDENTIAL LAND WITH SMALL IMPROVEMENTS,312,BUFFALO NEIGHBORHOOD,,,"STABILIZATION COMPANY, INC.",271 GRANT ST,"BUFFALO, NY",133,CHENANGO,133 CHENANGO,BUFFALO,NY,14213,,11179,9746,3/31/2010,1,4800,6300,1,,0,,,,,0,0,0,NIAGARA,District B,66.01,1,1002,Elmwood Bryant,42.914456912284216,-78.88521528458837,"(42.914456912284216, -78.88521528458837)"
